0,
1,able to take off
2,be able to take off
3,be taking off
4,been able to take off
5,been taking off
6,detective
7,going to take off
8,hair dryer
9,hair dryers
10,have to be able to take off
11,have to be taking off
12,have to take off
13,livelihoods
14,not able to take off
15,not be able to take off
16,not be taking off
17,not been able to take off
18,not been taking off
19,not going to take off
20,not have to be able to take off
21,not have to be taking off
22,not have to take off
23,not take off
24,not taken off
25,not taking off
26,off
27,take off
28,taken off
29,taking off
30,African
31,American
32,Americans
33,Arabic
34,Asian
35,Be
36,Chinese
37,Christmas
38,Doctor of Philosophy degree
39,Doctor of Philosophy degrees
40,English
41,English schools
42,Englishmen
43,European
44,Feel
45,Ferris wheels
46,French
47,Frenchmen
48,German
49,get
50,go
51,He
52,I
53,It
54,Italian
55,Japanese
56,Japanese cushion
57,Japanese cushions
58,Japanese food
59,Korean
60,Korean barbecue
61,New Year holidays
62,Oriental
63,Russian
64,She
65,T-shirt
66,T-shirts
67,TRUE
68,TV personalities
69,TV personality
70,Taiwanese
71,That
72,These
73,They
74,This
75,Those
76,We
77,Western
78,Western food
79,World Heritage site
80,World Heritage sites
81,You
82,a
83,a bus
84,a concert
85,a fever
86,a fight
87,a mistake
88,a shot
89,a train
90,a trip
91,abilities
92,ability
93,about
94,above
95,absence
96,absences
97,absent
98,absent-minded
99,absorption
100,abstention
101,abuse
102,abuses
103,accelerator
104,accelerators
105,accessories
106,accessory
107,accident
108,accidents
109,accusation
110,accusations
111,achievement
112,achievements
113,acid
114,acknowledgment
115,acknowledgments
116,acquaintance
117,acquaintances
118,across
119,acting
120,action
121,actions
122,active
123,activities
124,activity
125,actor
126,actors
127,actress
128,actresses
129,add
130,added
131,adding
132,address
133,addresses
134,adds
135,admission
136,admissions
137,adult
138,advance
139,advantages
140,adventurous
141,advertisement
142,advertisements
143,advice
144,advise
145,advised
146,advises
147,advising
148,affair
149,affairs
150,afraid
151,after
152,age
153,aged
154,ages
155,agree
156,agreed
157,agreeing
158,agreement
159,agreements
160,agrees
161,ahead
162,air conditioner
163,air conditioners
164,air sickness
165,air ticket
166,air tickets
167,airplane
168,airplanes
169,airport
170,airports
171,airy
172,alarm clock
173,alarm clocks
174,album
175,albums
176,alcohol
177,alcoholic drink
178,alcoholic drinks
179,alive
180,all
181,all right
182,all talk no action
183,allergic
184,allergies
185,allergy
186,along
187,already
188,altar
189,altars
190,aluminum
191,am
192,am able to add
193,am able to advise
194,am able to agree
195,am able to answer
196,am able to appear
197,am able to arrive
198,am able to ask
199,am able to attack
200,am able to attend
201,am able to bake
202,am able to behave
203,am able to believe
204,am able to belong
205,am able to bite
206,am able to blow
207,am able to boil
208,am able to book
209,am able to break
210,am able to brown
211,am able to brush
212,am able to brush teeth
213,am able to burn
214,am able to buy
215,am able to call
216,am able to cancel
217,am able to carry
218,am able to carry out
219,am able to challenge
220,am able to cheat
221,am able to check in
222,am able to check out
223,am able to cheer
224,am able to choose
225,am able to clap
226,am able to clean
227,am able to come up
228,am able to communicate
229,am able to commute to school
230,am able to commute to work
231,am able to complain
232,am able to complete
233,am able to concentrate
234,am able to connect
235,am able to cook
236,am able to cool
237,am able to cough
238,am able to cover
239,am able to create
240,am able to cry
241,am able to cry out
242,am able to cut
243,am able to cut down
244,am able to cut down on
245,am able to cut into chunks
246,am able to cut into small pieces
247,am able to cut off
248,am able to deduct
249,am able to develop
250,am able to develop a fever
251,am able to die
252,am able to dip
253,am able to disappear
254,am able to do shopping
255,am able to do sightseeing
256,am able to doubt
257,am able to draw
258,am able to drink
259,am able to drive
260,am able to dry
261,am able to enjoy
262,am able to enter
263,am able to examine
264,am able to experience
265,am able to explain
266,am able to extend
267,am able to fail
268,am able to fall down
269,am able to fill
270,am able to fit
271,am able to fly
272,am able to function
273,am able to get
274,am able to get a shot
275,am able to get close
276,am able to get in touch
277,am able to get injured
278,am able to get to know
279,am able to give
280,am able to give a concert
281,am able to go
282,am able to go on a trip
283,am able to go out
284,am able to go shopping
285,am able to go sightseeing
286,am able to go skiing
287,am able to go to bed
288,am able to go to sleep
289,am able to grab
290,am able to graduate
291,am able to grate
292,am able to grease
293,am able to greet
294,am able to grill
295,am able to grind
296,am able to grow
297,am able to guess
298,am able to hand
299,am able to hand in
300,am able to handle
