0,,,
1,いた,いた,いた
2,いたい,いたい,いたい
3,いたかった,いたかた,いたかった
4,いたかもしれない,いたかもしれない,いたかもしれない
5,いたかもしれなかった,いたかもしれなかた,いたかもしれなかった
6,いたくない,いたくない,いたくない
7,いたくなかった,いたくなかた,いたくなかった
8,いたことがあった,いたことがあた,いたことがあった
9,いたことがある,いたことがある,いたことがある
10,いたことだろう,いたことだろう,いたことだろう
11,いたことはない,いたことはない,いたことはない
12,いたことはなかった,いたことはなかた,いたことはなかった
13,いただろう,いただろう,いただろう
14,いたにちがいない,いたにちがいない,いたにちがいない
15,いたはずがない,いたはずがない,いたはずがない
16,いた可能性《かのうせい》がある,いたかのうせいがある,いた可能性《かのうせい》がある
17,いた可能性《かのうせい》はない,いたかのうせいはない,いた可能性《かのうせい》はない
18,いだ,いだ,いだ
19,いだかもしれない,いだかもしれない,いだかもしれない
20,いだかもしれなかった,いだかもしれなかた,いだかもしれなかった
21,いだことがあった,いだことがあた,いだことがあった
22,いだことだろう,いだことだろう,いだことだろう
23,いだことはない,いだことはない,いだことはない
24,いだことはなかった,いだことはなかた,いだことはなかった
25,いだだろう,いだだろう,いだだろう
26,いだにちがいない,いだにちがいない,いだにちがいない
27,いだはずがない,いだはずがない,いだはずがない
28,いだ可能性《かのうせい》がある,いだかのうせいがある,いだ可能性《かのうせい》がある
29,いだ可能性《かのうせい》はない,いだかのうせいはない,いだ可能性《かのうせい》はない
30,いていた,いていた,いていた
31,いていたい,いていたい,いていたい
32,いていたかった,いていたかた,いていたかった
33,いていたくない,いていたくない,いていたくない
34,いていたくなかった,いていたくなかた,いていたくなかった
35,いていてはいけない,いていてはいけない,いていてはいけない
36,いていない,いていない,いていない
37,いていないかもしれない,いていないかもしれない,いていないかもしれない
38,いていないだろう,いていないだろう,いていないだろう
39,いていないはずだ,いていないはずだ,いていないはずだ
40,いていないほうがいい,いていないほうがいい,いていないほうがいい
41,いていなかった,いていなかた,いていなかった
42,いていなくてもいい,いていなくてもいい,いていなくてもいい
43,いていなくてもいいかもしれない,いていなくてもいいかもしれない,いていなくてもいいかもしれない
44,いていなくてもいいだろう,いていなくてもいいだろう,いていなくてもいいだろう
45,いていなくてもよかった,いていなくてもよかた,いていなくてもよかった
46,いていなければいけない,いていなければいけない,いていなければいけない
47,いていなければいけないかもしれない,いていなければいけないかもしれない,いていなければいけないかもしれない
48,いていなければいけないだろう,いていなければいけないだろう,いていなければいけないだろう
49,いていなければいけなかった,いていなければいけなかた,いていなければいけなかった
50,いている,いている,いている
51,いているかもしれない,いているかもしれない,いているかもしれない
52,いているだろう,いているだろう,いているだろう
53,いているにちがいない,いているにちがいない,いているにちがいない
54,いているはずだ,いているはずだ,いているはずだ
55,いているほうがいい,いているほうがいい,いているほうがいい
56,いてはいけない,いてはいけない,いてはいけない
57,いでいた,いでいた,いでいた
58,いでいたい,いでいたい,いでいたい
